Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
0,Sydney Swans,Hawthorn,Sydney Swans,0.535908591,23
0,GWS GIANTS,Collingwood,GWS GIANTS,0.512465772,12
